"Statement","Mean","SD","N"
"The average person can differentiate between when someone is telling the truth or lying.",3.48,1.33,201
"Compared to most adults, adolescents exhibit ""immaturity of judgement"" in their decision-making.",4.83,1.31,201
"If police present a suspect with false evidence during an interrogation, it is more likely that the suspect will confess to a crime they did not commit.",4.98,1.49,201
"Compared to guilty suspects, innocent suspects are more likely to waive their Charter rights.",4.42,1.59,201
"In general, people's behaviour is strongly influenced by their expectations of reward and punishment.",5.55,1.09,201
"Trained police can distinguish between truths and lies at high levels of accuracy.",3.67,1.66,201
"Sleep deprivation affects decision making and makes a suspect vulnerable to influence.",6.19,1.01,201
"Explicit promises of leniency or immunity during interrogation can lead a person to confess to a crime that they did not commit.",5.39,1.44,201
"Police officer expressions of sympathy and moral justification for a crime can lead a suspect to believe that the police will be lenient with them when they confess to a crime.",5.64,1.06,201
"In decision making, people are influenced more by immediate outcomes than by longer term consequences.",5.9,1.13,201
"Misinformation about an event can change a person's memory for that event.",5.86,1.23,201
"Individuals who have intellectual disabilities are particularly vulnerable to the pressures of police.",5.35,1.24,201
"Observers tend to underestimate the effects of situational factors on the behaviour of other people.",2.38,1.42,201
"An average adult cannot be induced into giving a false confession.",5.39,1.27,201
"Individuals with compliant or suggestible personalities are particularly vulnerable to influence during an interrogation.",4.72,1.45,201
"Compared to adults, adolescents are more likely to give false confessions.",5.12,1.22,201
"Authority figures can produce illicit acts of obedience from people through a step-by-step process of gradual escalation.",4.42,1.63,201
"People can be trained to distinguish between truths and lies at high levels of accuracy by observing nonverbal symptoms of anxiety.",4.4,1.69,201
"People can be trained to distinguish between truths and lies at high levels of accuracy by learning how to detect micro-expressions in the face.",5.59,1.19,201
"The average person can differentiate between when someone is telling the truth or lying.",5.91,1.32,201
"Compared to most adults, adolescents exhibit ""immaturity of judgement"" in their decision-making.",3.47,1.47,201
"If police present a suspect with false evidence during an interrogation, it is more likely that the suspect will confess to a crime they did not commit.",2.46,1.4,201
"Compared to guilty suspects, innocent suspects are more likely to waive their Charter rights.",2.76,1.58,201
"In general, people's behaviour is strongly influenced by their expectations of reward and punishment.",3.48,1.44,201
"Trained police can distinguish between truths and lies at high levels of accuracy.",3.62,1.44,201
"Sleep deprivation affects decision making and makes a suspect vulnerable to influence.",6.14,1.22,201
"Explicit promises of leniency or immunity during interrogation can lead a person to confess to a crime that they did not commit.",2.92,1.49,201
"Police officer expressions of sympathy and moral justification for a crime can lead a suspect to believe that the police will be lenient with them when they confess to a crime.",4.27,1.49,201
"In decision making, people are influenced more by immediate outcomes than by longer term consequences.",4.07,1.46,201
"Misinformation about an event can change a person's memory for that event.",3.96,1.61,201
"Individuals who have intellectual disabilities are particularly vulnerable to the pressures of police.",2.7,1.5,201
"Observers tend to underestimate the effects of situational factors on the behaviour of other people.",5.36,1.19,201
"An average adult cannot be induced into giving a false confession.",5.71,1.13,201
"Individuals with compliant or suggestible personalities are particularly vulnerable to influence during an interrogation.",5.72,1.13,201
"Compared to adults, adolescents are more likely to give false confessions.",2.46,1.33,201
"Authority figures can produce illicit acts of obedience from people through a step-by-step process of gradual escalation.",3.06,1.52,201
"People can be trained to distinguish between truths and lies at high levels of accuracy by observing nonverbal symptoms of anxiety.",3.07,1.86,201
"People can be trained to distinguish between truths and lies at high levels of accuracy by learning how to detect micro-expressions in the face.",2.72,1.89,201
